Date,Open,High,Low,Close,Volume
2022-09-23,5207.2202,5303.0601,5207.0898,5207.2202,0
2022-09-26,5178.7500,5249.0698,5178.7500,5178.7500,0
2022-09-27,5180.6401,5222.2900,5140.1699,5180.6401,0
2022-09-28,5100.2402,5191.8999,5099.7002,5100.2402,0
2022-09-29,5035.3799,5109.3999,5025.0698,5035.3799,0
2022-09-30,5114.1899,5157.4702,5035.3799,5114.1899,0
2022-10-03,5143.2300,5151.0898,5108.9102,5143.2300,0
2022-10-04,5248.8701,5268.3398,5143.2300,5248.8701,0
2022-10-05,5192.2500,5248.8701,5172.8101,5192.2500,0
2022-10-06,5183.5498,5210.2300,5170.6401,5183.5498,0
2022-10-07,5079.6802,5184.2100,5079.4502,5079.6802,0
2022-10-11,4988.7998,5089.1899,4962.4399,4988.7998,0
2022-10-12,4936.5698,5011.2100,4905.6299,4936.5698,0
2022-10-13,4961.0898,4984.2500,4870.7900,4961.0898,0
2022-10-14,4972.3901,5027.8398,4961.0898,4972.3901,0
2022-10-17,5103.0601,5105.8599,4972.3901,5103.0601,0
2022-10-18,5122.8501,5170.9702,5081.4600,5122.8501,0
2022-10-19,5087.6899,5127.8198,5077.2598,5087.6899,0
2022-10-20,5139.3501,5139.6299,5075.8301,5139.3501,0
2022-10-21,5147.3701,5153.2598,5082.4302,5147.3701,0
2022-10-24,5108.1699,5182.3198,5102.7100,5108.1699,0
2022-10-25,5164.3101,5164.3101,5096.8101,5164.3101,0
2022-10-26,5151.3398,5164.6699,5117.0298,5151.3398,0
2022-10-27,5187.4102,5196.6201,5142.3501,5187.4102,0
2022-10-28,5193.8101,5196.9902,5122.6201,5193.8101,0
2022-11-02,5194.6602,5219.3301,5171.5200,5194.6602,0
2022-11-03,5180.2998,5194.6602,5115.3501,5180.2998,0
2022-11-04,5220.0400,5223.8999,5180.2998,5220.0400,0
2022-11-07,5289.5498,5290.1602,5214.9102,5289.5498,0
2022-11-08,5406.1201,5406.1201,5289.5498,5406.1201,0
2022-11-09,5350.3599,5406.1201,5316.9902,5350.3599,0
2022-11-10,5339.5400,5420.4702,5311.1099,5339.5400,0
2022-11-11,5350.7900,5368.5098,5335.4600,5350.7900,0
2022-11-14,5302.4399,5378.5200,5281.7700,5302.4399,0
2022-11-15,5239.1299,5302.4399,5219.7798,5239.1299,0
2022-11-16,5230.4502,5251.8301,5200.8501,5230.4502,0
2022-11-17,5172.3101,5263.2100,5169.7300,5172.3101,0
2022-11-18,5196.9199,5201.0601,5149.7402,5196.9199,0
2022-11-21,5312.6899,5327.8198,5196.9199,5312.6899,0
2022-11-22,5294.7798,5327.0801,5254.2900,5294.7798,0
2022-11-23,5260.9102,5303.2500,5257.5098,5260.9102,0
2022-11-24,5273.7202,5303.5898,5260.9102,5273.7202,0
2022-11-25,5249.5698,5273.7202,5221.5898,5249.5698,0
